Anna,Kowalska,Ania,+48501234569,anna.kowalska@gmail.com
Tomasz,Wójcik,Tom,0504567890,tomasz.wojcik@gmail.com
Katarzyna,Lewandowska,Kasia,+48505678901,kasia.lew@hotmail.com
Michał,Kamiński,Mike,506789012,michal.kaminski@gmail.com
Barbara,Zielińska,Basia,+48507890123,basia.zielinska@wp.pl
Adam,Szymański,Ad,0508901234,adam.szymanski@outlook.com
Ewa,Dąbrowska,Ewka,+48509012345,ewa.dabrowska@gmail.com
Krzysztof,Kozłowski,Krzyś,510123456,krzysztof.kozlowski@interia.pl
Monika,Jankowska,Monia,+48511234567,monika.jankowska@o2.pl
Paweł,Mazur,Pako,0512345678,pawel.mazur@gmail.com
Agnieszka,Krawczyk,Aga,+48513456789,aga.krawczyk@wp.pl
Jan,Grabowski,Janek,514567890,jan.grabowski@outlook.com
Zofia,Pawlak,Zosia,+48515678901,zofia.pawlak@gmail.com
Karl,Dobro,Tea,+4850342648,ka_Do@yahoo.com
